notion_url,title,product_type,pipeline,active,supplier_coverage_status,naics_code
https://app.notion.com/97da782c686a4ebf80be37f81204b27f,Notice of Intent to Sole Source CTIP-III Stainless Steel Upgrade,Steel/Fab,Inbox,True,3+ Suppliers,323120
https://app.notion.com/98120d994cd744b0a41ae86a3d304372,Alta Robbins Valves & Soft Goods,Valves/Piping,Inbox,True,3+ Suppliers,332911
https://app.notion.com/98208c7f78d04a42acfb8928a7265fe2,"SLING, Beam Type NSN: 3940200068323",Steel/Fab,Inbox,True,3+ Suppliers,333923
https://app.notion.com/9afe2010c3654d38a5fc2ff9ad45376d,M48 Filter Coating and Painting,Construction/Services,No-bid,True,,325510
https://app.notion.com/9da67e90e32f4627bf3fc0981833483e,FITTING ASSY,Valves/Piping,Inbox,True,,332919
https://app.notion.com/9ec2ecc8a4a24c649fc7a238eb8952fe,7910--Autonomous Robotic Floor Scrubbing Machine VA Prescott,Equipment/Tools,No-bid,True,,333310
https://app.notion.com/9ee36305522c4d18a2330ffda6390b36,END FITTING,Valves/Piping,Inbox,True,3+ Suppliers,332919
https://app.notion.com/9ef7385c0bc34d09a9423e54886c2f41,"Navy Barracks Upgrades, York 1807",Construction/Services,No-bid,True,,236220
https://app.notion.com/9f138b801d0e462b9cb7ea8f91209621,GASKET,Valves/Piping,Inbox,True,,339991
https://app.notion.com/a02f11d5b9654ac1bdedfc9fdd8d93f4,"48--VALVE,BALL",Valves/Piping,Inbox,True,,332919
https://app.notion.com/a0a9c259e3fb443295434235e773fb0d,"48--VALVE,BALL",Valves/Piping,Inbox,True,3+ Suppliers,332919
https://app.notion.com/a13b1cd5f6994bbc921df7437a7efdb1,"Frangibolts, Sole Source Ensign-Bickford Aerospace & Defense",Fasteners,Inbox,True,3+ Suppliers,332510
https://app.notion.com/a13fe43806f349e9b063a43958658b99,Z2NE--544-22-115 Replace Water and Fire Piping Loop,Construction/Services,No-bid,True,,237110
https://app.notion.com/a20015be28cb494faedeae9533154ded,Butech Valves & Soft Goods,Valves/Piping,Inbox,True,,332911
https://app.notion.com/a44e5bff07194ebbadd173df3d9186ba,"48--VALVE,BALL",Valves/Piping,Inbox,True,3+ Suppliers,332919
https://app.notion.com/a9101fb8b2d64b41bdd2042961009c03,"48--VALVE,BALL",Valves/Piping,Inbox,True,,332919
https://app.notion.com/aa1be44076c341e39d55fbd125f92c1a,BeamWatch Non-Contact Beam Profiler,Equipment/Tools,Inbox,True,3+ Suppliers,334519
https://app.notion.com/aaed7c179e14417cace0dbdcba970255,Technical Support Services for NEPA compliance (SWEA),Construction/Services,No-bid,True,,541620
https://app.notion.com/ac1d329564c24a3090949237c9ad33ab,ZWICK Lugged Valve w/Gearbox,Valves/Piping,Inbox,True,3+ Suppliers,332911
https://app.notion.com/ad2fafc3da774690b0d47ade857ee3ba,GASKET,Valves/Piping,Inbox,True,3+ Suppliers,339991
https://app.notion.com/ae3c447ca29d49dba4ab42bc896d4362,Small Business Set Aside Vegas Fastener K-Monel Screws (drawings via SAM),Fasteners,Inbox,True,,332722
https://app.notion.com/af263ef63f1d4260ae0e5ee3628f4a8e,6A1 Corrective Maintenance PSNS Barge YR-85/YR-95,Construction/Services,No-bid,True,,336611
https://app.notion.com/b1e1c42a88d048368fda5667c3beaa92,"BAA C4ISR, Info Ops, Cyberspace Ops and IT Research, Cryogenics, Quantum",Other,No-bid,True,,541715
https://app.notion.com/b1ea98a64bb54418bed69763a14bb2ed,Technical Support Services for NEPA compliance (SWEA),Construction/Services,No-bid,True,,541620
https://app.notion.com/b349aa8e6bfb487b93d2345a270efe8a,"48--VALVE,BALL",Valves/Piping,Inbox,True,,332919
https://app.notion.com/b42503f602da434fb87bca0caa97c291,"VALVE,BUTTERFLY",Valves/Piping,Inbox,True,,332919
https://app.notion.com/b4e2e78f870540ed8908a4bdfce6dfb5,BeamWatch AM-3,Equipment/Tools,Inbox,True,3+ Suppliers,334519
https://app.notion.com/b8d2c7d764f743ddace7dca60db8bc4e,Provide services for Elastomeric Coating on CMR Roof,Construction/Services,No-bid,True,,238160
https://app.notion.com/b959e877252646e2b8e57887764872d2,"PARTS KIT,FASTENER, NSN 1560-017254989, P/N 527-13392-4",Fasteners,Inbox,True,3+ Suppliers,336413
https://app.notion.com/bcac15a5e19c4447b7dd27a0473cb9c7,"HOSE ASSEMBLY, NONMETALLIC",Other,Inbox,True,,326220
https://app.notion.com/bd5138c0e3aa41aa949d520ec9d40101,Repair Main Gas Valve Bldg 100,Construction/Services,No-bid,True,,238220
https://app.notion.com/bd86ca9692844963a4c5087573ddc191,"J065--Varian Truebeam, Aria, Eclipse Sole Source",Other,No-bid,True,,811210
https://app.notion.com/c0dfb2dc04e24a70af2eb279db88201e,"NSN: 1560-016842475, PN: 251T0100-186, NOMEN: SUPPORT,STRUCTURAL",Steel/Fab,Inbox,True,3+ Suppliers,336413
https://app.notion.com/c2ba20cdd0fd4b6fa18257ca1e38a6d8,GASKET,Valves/Piping,Inbox,True,3+ Suppliers,339991
https://app.notion.com/c486dbad303d412ca40106e5890882c0,Fabrication and Delivery of South Cavern Access Platform structural steel,Steel/Fab,Inbox,True,3+ Suppliers,332312
https://app.notion.com/c6a8f4b2a73e42129b87f07044d280b3,Solicitation - Shoulder Screw,Fasteners,Inbox,True,3+ Suppliers,332722
https://app.notion.com/c6be22c6cde44ec5838d272aa7611547,"Railcar Spanners, 80 Each, Aluminum - Fort Campbell KY",Steel/Fab,Inbox,True,3+ Suppliers,331315
https://app.notion.com/c7e611ab24204ff293ddf915c974a548,DetaClad Explosion Clad Metal Ti6AL4v/Tantalum/Inconel X750,Steel/Fab,Inbox,True,3+ Suppliers,332999
https://app.notion.com/c8e940a444ec45f49dc0035de521a4ed,"Replacement of Sanitary Drain Piping (Athens, GA)",Construction/Services,No-bid,True,,237110
https://app.notion.com/c926a74f59ca4ab9a4bab1e90bfca77f,Control Valve Parts - USNS ROBERT E. PEARY,Valves/Piping,Inbox,True,3+ Suppliers,332911
https://app.notion.com/cc1179a0bbba42edb2aeffd673583ded,W912CH-25-Q-0015 for Airflow Valve; NSN: 4240-01-055-1493,Valves/Piping,Inbox,True,,423120
https://app.notion.com/cc90a93b82d445d78935d7c63ca1ae87,"Planting Bamboo Tubes, Siuslaw National Forest, Corvallis OR",Other,No-bid,True,,339999
https://app.notion.com/cc9113e0cbc54348b87ab07fdfea83bc,Soo Poe Lock Gate 3 Fabrication and Delivery,Steel/Fab,Inbox,True,3+ Suppliers,332312
https://app.notion.com/d2e9d99fd23d4c0283388cf3ed2169fb,Repair Main Gas Valve Bldg 100,Construction/Services,No-bid,True,,238220
https://app.notion.com/d31603331c1d40d8b7a1e96972e7677d,Cap Screws,Fasteners,Inbox,True,3+ Suppliers,332722
https://app.notion.com/d53c5ad8e51944c8afcf824a1e0efbb9,7125--Equipment: Work Bench Station,Equipment/Tools,Inbox,True,3+ Suppliers,337127
https://app.notion.com/d82e7d3bbf9b473db53a1bb553ab6ea0,Level 1 Metal Rod,Steel/Fab,Inbox,True,3+ Suppliers,331491
https://app.notion.com/d86eb374497c43b29546c44822df5dc0,License Plate Reader IDIQ for FBI Directorate of Intelligence,Other,No-bid,True,,561990
https://app.notion.com/d9549a87f8134ba9bc8b9936094ce3d6,LA District $80M Regional Design Build Paving IDIQ,Construction/Services,No-bid,True,,237310
https://app.notion.com/db25900dca2545b39d3613da72e3ba5f,Scanivalve Pressure System,Equipment/Tools,Inbox,True,3+ Suppliers,334513
https://app.notion.com/db6e98a14bf04bf0bf364016caa0bd7c,High Temp Very High Cycle Fatigue/Tensile for H2-Resistant/ODS Alloy,Other,No-bid,True,,541990
https://app.notion.com/dbb9fa4129b042f489a9b5346f2583d4,Production of CNS/ATM SATCOM Antenna and Satellite Data Unit,Other,No-bid,True,,517410
https://app.notion.com/dc1e3b55b5e54142abd366f2d2cfbbdf,"48--VALVE,BALL",Valves/Piping,Inbox,True,,332919
https://app.notion.com/de8ef2be8fb94060b758f836b489bb6e,"Valve Assembly, Envi",Valves/Piping,No-bid,True,,336413
https://app.notion.com/df7aef92564d4958ab7de96fcbf7f1fd,Non-Metallic Hoses,Other,Inbox,True,,326220
https://app.notion.com/e2ebbbfb6a504de2a6cccb54b7b77e50,"ELBOW,PIPE TO HOSE",Valves/Piping,Inbox,True,3+ Suppliers,332919
https://app.notion.com/e4091aaf8654443fbe29c69efd3c23bc,6A1 Corrective Maintenance PSNS Barge YR-85/YR-95,Construction/Services,No-bid,True,,336611
https://app.notion.com/e4fa64e1cba94de8beb3455f452a44db,Y1DZ--556-23-104 CON: Chilled Water Piping Bldg.188 to Bldg.3,Construction/Services,No-bid,True,,236220
https://app.notion.com/e5ef9189c9c747acb8c91cbaad1e0f98,F-16 Interconnect Assembly,Other,Inbox,True,,334419
https://app.notion.com/e62a84144a86409096f2363b6b9c91ed,"48--VALVE,BALL, IN REPAIR/MODIFICATION OF",Valves/Piping,Inbox,True,3+ Suppliers,
https://app.notion.com/e78791ec43274452802c07b945af0d4a,6A1 Corrective Maintenance PSNS Barge YR-85/YR-95,Construction/Services,No-bid,True,,336611
https://app.notion.com/e832019a09f348cdbbfeb55dc20074cd,one (1) Helium leak checker and associated parts,Equipment/Tools,Inbox,True,3+ Suppliers,334516
https://app.notion.com/ed1a106c253640ed8b3cba2aed4d1075,Sound Testing,Construction/Services,No-bid,True,,541380
https://app.notion.com/ef71aed7984e4d629ac575e42924dcc5,"TRAY ASSEMBLY,RECEI",Other,No-bid,True,,334412
https://app.notion.com/f0affb5cc95d4da6bdc846644f0ff4d7,"VALVE, LINEAR, DIRECT",Valves/Piping,Inbox,True,3+ Suppliers,336413
https://app.notion.com/f1ed47262e5444b0b901ee503ff64833,SOCKET HEAD CAP SCREW,Fasteners,Inbox,True,3+ Suppliers,332722
https://app.notion.com/f23c3deb1eff4cb7adfaae5c6e1c44a1,BAR-ROUND 5 IN; FORGED BAR MACHINED OR GROUND,Steel/Fab,Inbox,True,3+ Suppliers,331210
https://app.notion.com/f5521d1bdf77498ba128a44a6184913c,VALVE SERVICE KIT,Valves/Piping,Inbox,True,3+ Suppliers,333618
https://app.notion.com/f6536b670cb04f959b78ed299f2494e6,USS Nueces (APL-40) REPLACE HOT POTABLE WATER PIPING,Construction/Services,No-bid,True,,336611
https://app.notion.com/f9116734ac5f453e991abc8404902476,HAAS VF- 8/40 Vertical Milling Machine,Equipment/Tools,Inbox,True,3+ Suppliers,333517
https://app.notion.com/fb9b5079d5de4116ae7d4ff469f9512e,FCC BUTNER - BUT INTERIOR REPAIRS,Construction/Services,No-bid,True,,238330
https://app.notion.com/fc3a4b3aab174a158d4c248c1c8bc1d9,Bench Grinder and Mill/Drill Press,Equipment/Tools,Inbox,True,3+ Suppliers,333517
